,Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
0,12200,59.0,6.0,2004.0,Sports,6.0,5.0,0.01,0.0,0.0,0.07
1,10814,261.0,21.0,2002.0,Action,6.0,7.0,0.02,0.0,0.0,0.1
2,894,242.0,18.0,2008.0,Sports,89.0,91.0,0.0,0.29,0.12,1.93
3,4808,510.0,11.0,2008.0,Action,117.0,0.0,0.0,0.4,0.0,0.4
4,13925,104.0,22.0,2015.0,Sports,120.0,0.0,0.04,0.0,0.0,0.04
5,14890,463.0,20.0,2015.0,Action,6.0,0.0,0.02,0.0,0.0,0.03
6,505,73.0,10.0,1998.0,Racing,25.0,9.0,2.43,0.12,0.22,2.87
7,11627,144.0,21.0,2005.0,Racing,52.0,6.0,0.02,0.0,0.0,0.08
8,8397,462.0,11.0,2008.0,Misc,113.0,8.0,0.06,0.0,0.02,0.17
9,2146,219.0,6.0,2006.0,Action,71.0,65.0,0.19,0.0,0.03,0.97
10,9192,51.0,10.0,1996.0,Sports,68.0,8.0,0.05,0.0,0.01,0.14
11,6758,97.0,3.0,2009.0,Adventure,34.0,22.0,0.01,0.0,0.02,0.25
12,2502,109.0,12.0,2010.0,Fighting,87.0,41.0,0.2,0.11,0.09,0.83
13,1848,483.0,12.0,2010.0,Action,34.0,50.0,0.42,0.0,0.17,1.11
14,9727,167.0,10.0,1998.0,Role-Playing,6.0,7.0,0.05,0.0,0.01,0.12
15,16343,166.0,6.0,2003.0,Racing,39.0,1.0,0.0,0.0,0.0,0.01
16,4205,405.0,3.0,2007.0,Action,6.0,42.0,0.0,0.0,0.04,0.47
17,5702,258.0,9.0,2011.0,Role-Playing,122.0,12.0,0.14,0.0,0.05,0.31
18,1240,62.0,12.0,2006.0,Shooter,6.0,56.0,0.63,0.03,0.26,1.52
19,4451,44.0,10.0,1996.0,Role-Playing,29.0,25.0,0.17,0.0,0.03,0.44
20,10266,311.0,15.0,2016.0,Fighting,87.0,0.0,0.03,0.07,0.01,0.11
21,16253,423.0,12.0,2014.0,Platform,24.0,0.0,0.0,0.01,0.0,0.01
22,3203,440.0,1.0,2012.0,Misc,87.0,0.0,0.0,0.63,0.0,0.63
